Domain,Hard Skills
Java Developer,"Java, Spring, Hibernate, SQL, REST"
Testing,"Manual Testing, Automation Testing, Selenium, JIRA, LoadRunner"
DevOps Engineer,"CI/CD, Docker, Kubernetes, Jenkins, AWS"
Python Developer,"Python, Django, Flask, NumPy, Pandas"
Web Designing,"HTML, CSS, JavaScript, UX/UI Design, Photoshop"
HR,"Recruitment, Employee Relations, Payroll, Training, Compliance"
Hadoop,"Hadoop, MapReduce, HDFS, Hive, Pig"
Blockchain,"Blockchain, Solidity, Ethereum, Hyperledger, Smart Contracts"
ETL Developer,"ETL, Informatica, Data Warehousing, SQL, Data Mapping"
Operations Manager,"Operations Management, Leadership, Process Improvement, Six Sigma, Strategic Planning"
Data Science,"Machine Learning, R, Python, Data Analysis, Big Data"
Sales,"Sales Strategy, CRM, Negotiation, Lead Generation, Closing Deals"
Mechanical Engineer,"Mechanical Design, CAD, Thermodynamics, Fluid Mechanics, Materials Science"
Arts,"Drawing, Painting, Art History, Sculpting, Digital Art"
Database,"SQL, NoSQL, Database Design, Oracle, MySQL"
Electrical Engineering,"Circuit Design, Microcontrollers, Power Systems, Embedded Systems, Control Systems"
Health and fitness,"Personal Training, Nutrition, Exercise Physiology, Health Coaching, Wellness Programs"
PMO,"Project Management, Risk Management, Scheduling, Budgeting, Stakeholder Management"
Business Analyst,"Business Analysis, Requirements Gathering, Process Improvement, UML, Data Analysis"
DotNet Developer,"C#, ASP.NET, MVC, Entity Framework, LINQ"
Automation Testing,"Selenium, QTP, TestNG, JUnit, LoadRunner"
Network Security Engineer,"Network Security, Firewalls, VPN, Intrusion Detection, Penetration Testing"
SAP Developer,"SAP ABAP, SAP FICO, SAP MM, SAP SD, SAP HANA"
Civil Engineer,"Civil Engineering Design, AutoCAD, Structural Analysis, Construction Management, Geotechnical Engineering"
Advocate,"Legal Research, Litigation, Contract Law, Civil Law, Criminal Law"
